date,open,high,low,close,volume
2004-04-07,20.05,20.6,20.05,20.5,3707500.0
2004-04-08,20.5,20.5,20.36,20.43,301200.0
2004-04-12,20.45,20.45,19.42,19.52,852900.0
2004-04-13,19.51,19.55,19.35,19.51,226800.0
2004-04-14,19.4,19.48,19.4,19.43,143900.0
2004-04-15,19.43,19.64,19.43,19.6,22700.0
2004-04-16,19.6,19.6,19.5,19.5,33600.0
2004-04-19,19.5,19.58,19.5,19.51,16300.0
2004-04-20,19.5,19.77,19.5,19.7,13400.0
2004-04-21,19.65,19.65,19.0,19.3,120000.0
2004-04-22,19.3,19.55,19.25,19.55,11200.0
2004-04-23,19.51,19.52,19.5,19.5,7600.0
2004-04-26,19.5,19.55,19.45,19.5,11700.0
2004-04-27,19.45,19.95,19.4,19.75,18000.0
2004-04-28,19.8,19.83,19.55,19.55,15500.0
2004-04-29,19.6,19.62,19.4,19.58,33400.0
2004-04-30,19.55,19.55,19.36,19.45,79100.0
2004-05-03,19.45,19.5,19.35,19.48,13200.0
2004-05-04,19.5,19.6,19.3,19.4,60800.0
2004-05-05,19.37,19.59,19.35,19.59,9900.0
2004-05-06,19.6,20.01,19.5,20.0,83200.0
2004-05-07,19.8,19.8,19.28,19.3,31300.0
2004-05-10,19.15,19.22,18.8,19.22,75300.0
2004-05-11,19.2,19.2,19.01,19.02,28600.0
2004-05-12,19.2,19.36,19.15,19.2,26900.0
2004-05-13,19.25,19.37,19.22,19.26,37700.0
2004-05-14,19.3,19.4,19.25,19.39,9300.0
2004-05-17,19.35,19.35,18.85,19.0,39600.0
2004-05-18,19.08,19.18,18.95,19.08,25900.0
2004-05-19,18.98,19.09,18.94,19.02,20400.0
2004-05-20,19.03,19.18,18.9,18.97,30900.0
2004-05-21,19.0,19.19,18.95,18.97,32800.0
2004-05-24,18.95,19.0,18.4,18.68,17800.0
2004-05-25,18.72,18.8,18.65,18.8,7000.0
2004-05-26,18.85,18.99,18.82,18.95,4900.0
2004-05-27,18.94,19.0,18.9,18.98,44900.0
2004-05-28,18.93,19.1,18.75,18.96,19500.0
2004-06-01,19.0,19.0,18.5,18.82,21200.0
2004-06-02,18.85,19.29,18.85,19.24,60100.0
2004-06-03,19.25,19.34,19.11,19.14,14000.0
2004-06-04,19.19,19.2,18.9,18.98,16100.0
2004-06-07,18.95,19.04,18.87,18.95,366300.0
2004-06-08,19.0,19.25,19.0,19.25,38600.0
2004-06-09,19.25,19.38,19.25,19.38,10500.0
2004-06-10,19.44,19.8,19.44,19.65,17900.0
2004-06-14,19.6,20.0,19.49,20.0,268500.0
2004-06-15,20.0,20.13,19.88,20.0,88500.0
2004-06-16,20.0,20.12,19.91,20.12,25000.0
2004-06-17,20.14,20.65,20.14,20.52,37100.0
2004-06-18,20.45,20.95,20.45,20.95,21200.0
2004-06-21,21.0,21.0,20.25,20.55,69400.0
2004-06-22,20.6,20.76,20.55,20.6,39100.0
2004-06-23,20.5,20.51,20.33,20.44,18300.0
2004-06-24,20.4,20.4,19.91,20.23,69200.0
2004-06-25,20.15,20.42,20.0,20.0,168700.0
2004-06-28,20.05,20.05,19.65,19.74,18100.0
2004-06-29,19.75,19.96,19.7,19.77,23800.0
2004-06-30,19.8,19.95,19.65,19.95,34200.0
2004-07-01,19.55,19.77,19.5,19.5,57500.0
2004-07-02,19.55,19.99,19.54,19.99,60500.0
2004-07-06,19.97,20.05,19.9,20.0,34600.0
2004-07-07,20.0,20.09,19.9,20.09,36100.0
2004-07-08,20.05,20.15,19.95,20.0,18100.0
2004-07-09,19.96,20.08,19.85,20.01,52600.0
2004-07-12,19.95,20.05,19.9,20.03,6100.0
2004-07-13,20.0,20.1,19.75,19.97,50800.0
2004-07-14,20.0,20.14,19.95,19.95,39500.0
2004-07-15,19.98,19.98,19.5,19.51,14500.0
2004-07-16,19.5,19.61,19.25,19.36,27800.0
2004-07-19,19.28,19.51,19.25,19.51,2400.0
2004-07-20,19.55,19.55,19.35,19.43,5700.0
2004-07-21,19.45,19.45,18.77,18.82,38400.0
2004-07-22,18.82,18.9,18.55,18.71,14500.0
2004-07-23,18.75,18.79,18.41,18.73,20700.0
2004-07-26,18.82,18.85,18.4,18.53,11800.0
2004-07-27,18.52,18.95,18.05,18.93,87600.0
2004-07-28,18.93,18.99,18.5,18.6,138200.0
2004-07-29,18.6,19.35,18.6,19.35,153200.0
2004-07-30,19.35,19.4,18.87,19.0,371500.0
2004-08-02,19.0,19.2,18.68,19.0,619500.0
2004-08-03,19.05,19.25,18.95,19.22,30100.0
2004-08-04,19.23,19.37,19.0,19.05,266200.0
2004-08-05,19.02,19.3,19.0,19.0,165800.0
2004-08-06,19.05,19.35,18.75,18.8,31100.0
2004-08-09,18.85,19.04,18.7,19.0,35600.0
2004-08-10,19.06,19.68,19.06,19.68,86600.0
2004-08-11,19.65,19.66,19.2,19.36,102900.0
2004-08-12,19.34,19.48,19.21,19.22,14500.0
2004-08-13,19.25,19.49,19.25,19.4,8800.0
2004-08-16,19.4,19.5,19.29,19.37,14100.0
2004-08-17,19.5,20.15,19.4,20.08,39800.0
2004-08-18,20.15,20.15,19.7,19.95,82700.0
2004-08-19,20.0,20.1,19.9,19.98,217400.0
2004-08-20,19.99,20.1,19.9,20.1,151600.0
2004-08-23,20.15,20.3,20.03,20.16,95100.0
2004-08-24,20.25,20.6,20.25,20.46,187600.0
2004-08-25,20.55,20.58,20.25,20.25,54200.0
2004-08-26,20.25,20.36,19.98,20.36,144800.0
2004-08-27,20.36,20.53,20.27,20.5,10100.0
2004-08-30,20.46,20.6,20.4,20.53,9600.0
2004-08-31,20.61,21.0,20.58,20.87,106500.0
2004-09-01,20.8,21.0,20.75,20.75,108600.0
2004-09-02,20.8,20.8,20.7,20.75,30100.0
2004-09-03,20.75,21.0,20.54,20.8,78900.0
2004-09-07,20.75,21.0,20.58,20.85,75200.0
2004-09-08,21.0,21.0,20.63,20.64,19600.0
2004-09-09,20.55,21.7,20.55,21.6,85300.0
2004-09-10,21.51,21.55,21.35,21.41,26700.0
