date,open,high,low,close,volume
1999-11-01,4.188,4.25,4.125,4.25,3000.0
1999-11-02,4.25,4.375,4.25,4.375,6000.0
1999-11-03,4.313,4.438,4.313,4.438,12000.0
1999-11-04,4.563,4.563,4.5,4.5,9000.0
1999-11-05,4.5,4.5,4.375,4.375,12000.0
1999-11-08,4.375,4.375,4.25,4.375,6000.0
1999-11-09,4.313,4.5,4.25,4.438,15000.0
1999-11-10,4.5,4.5,4.375,4.438,84000.0
1999-11-11,4.5,4.688,4.5,4.625,81000.0
1999-11-12,4.563,4.813,4.563,4.75,24000.0
1999-11-15,4.813,4.813,4.75,4.75,9000.0
1999-11-16,4.625,4.625,4.5,4.625,3000.0
1999-11-17,4.625,4.75,4.625,4.75,18000.0
1999-11-18,4.75,4.875,4.625,4.875,48000.0
1999-11-19,4.813,4.813,4.625,4.813,21000.0
1999-11-22,4.688,4.688,4.625,4.688,3000.0
1999-11-23,4.625,4.625,4.5,4.5,6000.0
1999-11-24,4.5,4.5,4.438,4.438,0.0
1999-11-26,4.438,4.438,4.438,4.438,0.0
1999-11-29,4.438,4.438,4.438,4.438,3000.0
1999-11-30,4.438,4.75,4.438,4.75,30000.0
1999-12-01,4.75,4.75,4.438,4.438,6000.0
1999-12-02,4.375,4.5,4.313,4.5,45000.0
1999-12-03,4.563,4.563,4.438,4.5,6000.0
1999-12-06,4.438,4.438,4.313,4.313,9000.0
1999-12-07,4.313,4.313,4.125,4.25,21000.0
1999-12-08,4.25,4.25,4.188,4.25,6000.0
1999-12-09,4.25,4.375,4.125,4.25,45000.0
1999-12-10,4.188,4.313,4.188,4.313,18000.0
1999-12-13,4.188,4.25,4.188,4.25,18000.0
1999-12-14,4.25,4.313,4.25,4.25,33000.0
1999-12-15,4.25,4.25,4.25,4.25,6000.0
1999-12-16,4.25,4.25,4.0,4.0,36000.0
1999-12-17,4.0,4.19,4.0,4.12,9000.0
1999-12-20,4.25,4.25,4.125,4.125,3000.0
1999-12-21,4.125,4.125,4.063,4.125,33000.0
1999-12-22,4.125,4.125,4.063,4.063,21000.0
1999-12-23,4.063,4.063,4.0,4.063,18000.0
1999-12-27,4.063,4.125,4.0,4.125,30000.0
1999-12-28,4.125,4.188,4.063,4.125,18000.0
1999-12-29,4.063,4.188,4.063,4.188,39000.0
1999-12-30,4.063,4.125,4.0,4.0,45000.0
1999-12-31,4.0,5.0,3.938,5.0,69000.0
2000-01-03,4.87,4.87,4.5,4.56,27000.0
2000-01-04,4.5,4.5,4.313,4.313,6000.0
2000-01-05,4.25,4.375,4.25,4.375,6000.0
2000-01-06,4.25,4.25,4.25,4.25,0.0
2000-01-07,4.313,4.375,4.313,4.375,3000.0
2000-01-10,4.375,4.375,4.125,4.25,0.0
2000-01-11,4.25,4.25,4.125,4.25,6000.0
2000-01-12,4.25,4.25,4.25,4.25,0.0
2000-01-13,4.188,4.188,4.125,4.125,54000.0
2000-01-14,4.125,4.125,4.063,4.125,183000.0
2000-01-18,4.125,4.25,4.125,4.125,21000.0
2000-01-19,4.188,4.25,4.188,4.25,3000.0
2000-01-20,4.125,4.125,4.125,4.125,12000.0
2000-01-21,4.125,4.125,4.125,4.125,3000.0
2000-01-24,4.063,4.125,4.063,4.063,30000.0
2000-01-25,4.063,4.125,4.063,4.125,0.0
2000-01-26,4.125,4.25,4.063,4.063,0.0
2000-01-27,4.188,4.375,4.125,4.25,21000.0
2000-01-28,4.188,4.313,4.188,4.313,0.0
2000-01-31,4.25,4.25,4.125,4.125,3000.0
2000-02-01,4.125,4.125,4.125,4.125,0.0
2000-02-02,4.12,4.12,4.12,4.12,0.0
2000-02-03,4.063,4.125,4.063,4.063,3000.0
2000-02-04,4.19,4.19,4.06,4.06,3000.0
2000-02-07,4.0,4.188,4.0,4.188,0.0
2000-02-08,4.125,4.188,4.125,4.188,3000.0
2000-02-09,4.188,4.25,4.063,4.25,75000.0
2000-02-10,4.188,4.188,4.188,4.188,0.0
2000-02-11,4.25,4.25,4.25,4.25,0.0
2000-02-14,4.125,4.125,4.063,4.063,3000.0
2000-02-15,4.188,4.188,4.063,4.063,0.0
2000-02-16,4.06,4.06,4.06,4.06,0.0
2000-02-17,4.125,4.125,4.063,4.063,0.0
2000-02-18,4.063,4.063,4.0,4.063,3000.0
2000-02-22,4.063,4.063,4.0,4.0,3000.0
2000-02-23,4.0,4.063,3.875,4.0,39000.0
2000-02-24,4.188,4.188,3.875,4.0,84000.0
2000-02-25,4.063,4.063,3.875,3.875,3000.0
2000-02-28,3.875,3.938,3.875,3.875,3000.0
2000-02-29,3.875,4.313,3.875,4.25,63000.0
2000-03-01,4.313,4.625,4.313,4.5,69000.0
2000-03-02,4.375,4.375,4.25,4.25,21000.0
2000-03-03,4.125,4.313,4.125,4.188,15000.0
2000-03-06,4.188,4.313,4.188,4.313,0.0
2000-03-07,4.188,4.188,4.125,4.125,12000.0
2000-03-08,4.063,4.188,4.063,4.188,42000.0
2000-03-09,4.313,4.688,4.313,4.313,57000.0
2000-03-10,4.375,4.375,4.0,4.0,33000.0
2000-03-13,3.875,4.0,3.875,3.875,66000.0
2000-03-14,3.813,3.813,3.625,3.688,9000.0
2000-03-15,3.625,3.625,3.563,3.625,153000.0
2000-03-16,3.625,3.75,3.625,3.625,27000.0
2000-03-17,3.688,3.688,3.688,3.688,0.0
2000-03-20,3.75,3.813,3.75,3.813,6000.0
2000-03-21,3.875,3.875,3.625,3.75,6000.0
2000-03-22,3.688,3.688,3.625,3.625,0.0
2000-03-23,3.688,3.75,3.625,3.688,0.0
2000-03-24,3.688,3.875,3.688,3.875,15000.0
2000-03-27,3.938,4.0,3.875,3.875,3000.0
2000-03-28,3.938,4.063,3.938,4.0,744000.0
2000-03-29,4.0,4.0,4.0,4.0,414000.0
2000-03-30,4.0,4.0,4.0,4.0,69000.0
2000-03-31,4.0,4.0,4.0,4.0,72000.0
2000-04-03,4.125,4.125,4.0,4.0,21000.0
2000-04-04,4.0,4.0,4.0,4.0,6000.0
2000-04-05,4.063,4.063,4.0,4.0,9000.0
2000-04-06,4.0,4.0,4.0,4.0,0.0
2000-04-07,4.0,4.0,4.0,4.0,12000.0
2000-04-10,4.0,4.0,4.0,4.0,12000.0
2000-04-11,4.0,4.125,4.0,4.0,0.0
2000-04-12,4.0,4.0,4.0,4.0,9000.0
2000-04-13,4.0,4.0,4.0,4.0,0.0
2000-04-14,4.0,4.0,3.813,3.875,3000.0
2000-04-17,3.875,3.875,3.75,3.75,9000.0
2000-04-18,3.75,3.75,3.75,3.75,0.0
2000-04-19,3.75,3.75,3.75,3.75,0.0
2000-04-20,3.75,3.813,3.75,3.813,60000.0
2000-04-24,3.875,3.875,3.813,3.813,15000.0
2000-04-25,3.81,3.81,3.81,3.81,0.0
2000-04-26,3.938,3.938,3.75,3.75,9000.0
2000-04-27,3.75,3.75,3.75,3.75,0.0
2000-04-28,3.75,3.75,3.75,3.75,0.0
2000-05-01,3.75,3.75,3.75,3.75,0.0
2000-05-02,3.813,3.938,3.75,3.75,3000.0
2000-05-03,3.75,3.75,3.625,3.625,9000.0
2000-05-04,3.625,3.625,3.625,3.625,0.0
