date,open,high,low,close,volume
1999-11-01,26.62,26.62,26.44,26.44,2900.0
1999-11-02,26.38,26.38,26.38,26.38,1000.0
1999-11-03,26.38,26.38,26.38,26.38,2300.0
1999-11-04,26.31,26.38,26.31,26.38,1200.0
1999-11-05,26.38,26.44,26.38,26.44,3100.0
1999-11-08,26.44,26.5,26.38,26.38,1700.0
1999-11-09,26.56,26.56,26.44,26.44,11800.0
1999-11-10,26.38,26.38,26.31,26.38,2400.0
1999-11-11,26.5,26.56,26.5,26.5,1200.0
1999-11-12,26.62,26.62,26.31,26.31,7300.0
1999-11-15,26.31,26.31,26.25,26.25,8700.0
1999-11-16,26.31,26.44,26.31,26.44,4100.0
1999-11-17,26.38,26.5,26.38,26.5,1400.0
1999-11-18,26.69,27.0,26.69,27.0,4600.0
1999-11-19,27.06,27.06,27.06,27.06,18200.0
1999-11-22,26.94,26.94,26.81,26.81,2600.0
1999-11-23,26.69,26.69,26.62,26.69,3000.0
1999-11-24,26.56,26.56,26.44,26.5,2700.0
1999-11-26,26.62,26.62,26.56,26.56,3300.0
1999-11-29,26.5,26.5,26.5,26.5,400.0
1999-11-30,26.5,26.5,26.38,26.38,8300.0
1999-12-01,26.19,26.19,25.75,25.75,7200.0
1999-12-02,25.88,25.88,25.75,25.75,1500.0
1999-12-03,25.75,25.75,25.69,25.69,400.0
1999-12-06,25.69,25.69,25.56,25.56,800.0
1999-12-07,25.56,25.56,24.94,24.94,14400.0
1999-12-08,24.94,24.94,24.5,24.5,3100.0
1999-12-09,24.62,24.88,24.62,24.75,22200.0
1999-12-10,24.75,24.75,24.69,24.69,1200.0
1999-12-13,24.44,24.44,24.19,24.19,5900.0
1999-12-14,24.19,24.25,24.12,24.25,1700.0
1999-12-15,24.38,24.44,24.31,24.31,3300.0
1999-12-16,24.31,24.31,24.0,24.0,3600.0
1999-12-17,24.0,24.25,24.0,24.12,9900.0
1999-12-20,24.0,24.19,23.94,23.94,48500.0
1999-12-21,23.88,23.88,23.75,23.75,1500.0
1999-12-22,23.75,23.75,23.31,23.31,6000.0
1999-12-23,23.31,23.38,22.88,22.94,7700.0
1999-12-27,22.69,22.88,22.69,22.81,4800.0
1999-12-28,22.81,23.19,22.81,23.19,4000.0
1999-12-29,23.19,23.25,23.19,23.19,2300.0
1999-12-30,23.0,23.0,23.0,23.0,3900.0
1999-12-31,23.0,23.12,22.81,23.12,2100.0
2000-01-03,23.19,23.19,22.94,22.94,1700.0
2000-01-04,23.0,23.0,22.81,22.88,3000.0
2000-01-05,22.94,23.5,22.94,23.38,11100.0
2000-01-06,23.38,23.38,23.12,23.12,2600.0
2000-01-07,23.19,23.19,23.06,23.06,1700.0
2000-01-10,23.0,23.0,22.62,22.88,13000.0
2000-01-11,22.94,23.0,22.88,22.88,14900.0
2000-01-12,23.0,23.0,22.88,22.88,1800.0
2000-01-13,22.94,23.0,22.94,23.0,21600.0
2000-01-14,22.88,23.0,22.84,22.94,28900.0
2000-01-18,23.12,23.12,23.12,23.12,1500.0
2000-01-19,23.12,23.12,23.0,23.0,5000.0
2000-01-20,23.0,23.0,22.81,22.88,6100.0
2000-01-21,22.88,22.88,22.81,22.81,400.0
2000-01-24,22.81,22.81,22.44,22.44,2500.0
2000-01-25,22.5,23.0,22.5,22.69,8900.0
2000-01-26,22.81,23.06,22.81,23.0,23000.0
2000-01-27,23.12,23.31,23.12,23.19,3900.0
2000-01-28,23.25,23.25,22.88,23.0,3700.0
2000-01-31,22.94,23.0,22.81,23.0,4000.0
2000-02-01,22.88,22.94,22.12,22.12,8000.0
2000-02-02,22.06,22.06,21.88,21.88,7300.0
2000-02-03,21.62,21.62,21.5,21.5,3300.0
2000-02-04,21.5,21.5,21.5,21.5,0.0
2000-02-07,21.62,21.62,21.25,21.38,1200.0
2000-02-08,21.56,21.75,21.56,21.75,3200.0
2000-02-09,21.62,21.62,21.0,21.0,6600.0
2000-02-10,21.12,21.31,21.06,21.19,2200.0
2000-02-11,21.38,21.38,21.06,21.25,3100.0
2000-02-14,21.12,21.44,21.0,21.44,6700.0
2000-02-15,21.31,21.31,21.12,21.12,1700.0
2000-02-16,21.12,21.12,21.06,21.06,4600.0
2000-02-17,21.06,21.75,21.06,21.5,6600.0
2000-02-18,21.5,21.69,21.5,21.5,2000.0
2000-02-22,21.25,22.0,21.25,22.0,8100.0
2000-02-23,22.25,22.31,22.06,22.12,4300.0
2000-02-24,22.12,22.12,22.0,22.0,6300.0
2000-02-25,22.12,22.12,21.94,21.94,15500.0
2000-02-28,21.94,21.94,21.75,21.75,2400.0
2000-02-29,21.62,21.75,21.5,21.56,14500.0
2000-03-01,21.44,21.56,21.31,21.44,8600.0
2000-03-02,21.5,21.69,21.44,21.69,10700.0
2000-03-03,21.62,21.62,21.38,21.44,8200.0
2000-03-06,21.31,21.5,21.0,21.44,13700.0
2000-03-07,21.44,21.5,21.31,21.31,7100.0
2000-03-08,21.31,21.31,20.88,20.88,14200.0
2000-03-09,20.88,20.88,20.5,20.5,2500.0
2000-03-10,20.62,21.0,20.62,21.0,3600.0
2000-03-13,20.69,20.81,20.69,20.81,4900.0
2000-03-14,20.75,20.75,20.56,20.69,7300.0
2000-03-15,20.62,20.75,20.62,20.75,4900.0
2000-03-16,20.69,21.06,20.62,21.0,11400.0
2000-03-17,20.62,20.62,20.0,20.5,17200.0
2000-03-20,20.62,20.75,20.56,20.56,4700.0
2000-03-21,20.56,20.62,20.38,20.38,6300.0
