date,open,high,low,close,volume
1999-11-01,3.5,3.5,3.5,3.5,0.0
1999-11-02,3.5,3.5,3.5,3.5,0.0
1999-11-03,4.0,4.0,4.0,4.0,0.0
1999-11-04,4.0,4.0,4.0,4.0,0.0
1999-11-05,4.0,4.0,4.0,4.0,0.0
1999-11-08,3.94,3.94,3.94,3.94,0.0
1999-11-09,3.94,3.94,3.94,3.94,0.0
1999-11-10,3.94,3.94,3.94,3.94,0.0
1999-11-11,3.94,3.94,3.94,3.94,0.0
1999-11-12,3.94,3.94,3.91,3.91,1800.0
1999-11-15,3.91,3.91,3.91,3.91,0.0
1999-11-16,3.91,3.91,3.91,3.91,0.0
1999-11-17,3.91,3.91,3.91,3.91,0.0
1999-11-18,3.91,3.91,3.91,3.91,0.0
1999-11-19,4.0,4.0,4.0,4.0,300.0
1999-11-22,4.0,4.0,4.0,4.0,0.0
1999-11-23,4.0,4.0,4.0,4.0,0.0
1999-11-24,3.87,3.87,3.87,3.87,0.0
1999-11-26,3.87,3.87,3.87,3.87,0.0
1999-11-29,3.87,3.87,3.87,3.87,0.0
1999-11-30,3.87,3.87,3.87,3.87,0.0
1999-12-01,3.87,3.87,3.87,3.87,0.0
1999-12-02,5.0,5.0,4.78,4.78,1500.0
1999-12-03,4.81,4.81,4.78,4.78,3000.0
1999-12-06,4.87,4.87,4.87,4.87,300.0
1999-12-07,4.87,4.87,4.87,4.87,0.0
1999-12-08,4.87,5.25,4.87,5.25,2100.0
1999-12-09,5.25,5.25,5.25,5.25,0.0
1999-12-10,5.03,5.03,5.03,5.03,600.0
1999-12-13,5.75,5.75,5.0,5.0,2700.0
1999-12-14,5.0,5.0,5.0,5.0,0.0
1999-12-15,5.0,5.0,5.0,5.0,0.0
1999-12-16,5.31,5.31,5.31,5.31,300.0
1999-12-17,5.31,5.31,5.31,5.31,0.0
1999-12-20,5.31,5.31,5.31,5.31,0.0
1999-12-21,5.62,5.62,5.5,5.5,1200.0
1999-12-22,5.75,5.75,5.75,5.75,900.0
1999-12-23,5.75,5.75,5.75,5.75,0.0
1999-12-27,5.75,5.75,5.75,5.75,300.0
1999-12-28,5.75,5.75,5.75,5.75,0.0
1999-12-29,5.75,5.75,5.75,5.75,0.0
1999-12-30,5.75,5.75,5.75,5.75,300.0
1999-12-31,5.75,5.75,5.75,5.75,0.0
2000-01-03,5.75,5.75,5.75,5.75,0.0
2000-01-04,5.75,5.75,5.75,5.75,0.0
2000-01-05,5.62,5.62,5.62,5.62,300.0
2000-01-06,5.62,5.62,5.62,5.62,0.0
2000-01-07,5.62,5.62,5.62,5.62,0.0
2000-01-10,5.75,5.75,5.5,5.5,900.0
2000-01-11,5.5,5.5,5.5,5.5,0.0
2000-01-12,6.5,6.5,6.5,6.5,300.0
2000-01-13,6.5,6.5,6.5,6.5,0.0
2000-01-14,5.5,5.5,5.5,5.5,300.0
2000-01-18,5.5,5.5,5.5,5.5,0.0
2000-01-19,5.5,5.5,5.5,5.5,0.0
2000-01-20,5.5,5.5,5.5,5.5,0.0
2000-01-21,5.5,5.5,5.5,5.5,0.0
2000-01-24,5.53,5.53,5.53,5.53,300.0
2000-01-25,5.53,5.53,5.53,5.53,0.0
2000-01-26,5.53,5.53,5.53,5.53,0.0
2000-01-27,5.53,5.53,5.53,5.53,0.0
2000-01-28,5.53,5.53,5.53,5.53,0.0
2000-01-31,5.53,5.53,5.53,5.53,0.0
2000-02-01,5.53,5.53,5.53,5.53,0.0
2000-02-02,5.53,5.53,5.53,5.53,0.0
2000-02-03,5.53,5.53,5.53,5.53,0.0
2000-02-04,5.53,5.53,5.53,5.53,900.0
2000-02-07,6.56,6.56,5.56,5.56,300.0
2000-02-08,5.56,5.56,5.56,5.56,0.0
2000-02-09,5.56,5.56,5.56,5.56,0.0
2000-02-10,5.56,5.56,5.56,5.56,0.0
2000-02-11,5.56,5.56,5.56,5.56,0.0
2000-02-14,5.56,5.56,5.56,5.56,0.0
2000-02-15,5.56,5.56,5.56,5.56,0.0
2000-02-16,5.56,5.56,5.56,5.56,0.0
2000-02-17,5.56,5.56,5.56,5.56,0.0
2000-02-18,5.56,5.56,5.56,5.56,0.0
2000-02-22,5.56,5.56,5.56,5.56,0.0
2000-02-23,5.56,5.56,5.56,5.56,0.0
2000-02-24,6.0,6.0,6.0,6.0,0.0
2000-02-25,5.87,5.87,5.87,5.87,300.0
2000-02-28,5.87,5.87,5.87,5.87,0.0
