_id,date_time,maxtempC,mintempC,totalSnow_cm,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
61aa1e9737a24bc4e304bc1d,2014-01-01,0,-6,0.0,-7,-3,-7,17,41,74,0.0,1028,0,10,220,12
61aa1e9737a24bc4e304bc1e,2014-01-02,-2,-7,0.4,-10,-3,-10,34,97,86,8.2,1015,-2,4,37,26
61aa1e9737a24bc4e304bc1f,2014-01-03,-10,-15,0.4,-20,-11,-20,33,45,89,4.5,1018,-10,7,246,25
61aa1e9737a24bc4e304bc20,2014-01-04,-4,-12,0.0,-12,-7,-12,15,6,72,0.0,1031,-4,10,246,11
61aa1e9737a24bc4e304bc21,2014-01-05,4,-5,0.0,-4,0,-4,16,55,89,2.6,1022,4,6,174,9
61aa1e9737a24bc4e304bc22,2014-01-06,10,-6,2.4,-1,4,-1,44,62,90,23.2,1003,10,8,240,26
61aa1e9737a24bc4e304bc23,2014-01-07,-13,-16,0.0,-25,-14,-25,39,5,69,0.0,1022,-13,10,277,32
61aa1e9737a24bc4e304bc24,2014-01-08,-6,-12,0.0,-17,-9,-17,21,10,56,0.0,1033,-6,10,269,17
61aa1e9737a24bc4e304bc25,2014-01-09,1,-7,0.1,-6,-3,-6,11,21,58,0.2,1036,1,10,259,8
61aa1e9737a24bc4e304bc26,2014-01-10,3,-2,0.0,0,1,0,6,80,82,1.9,1030,3,8,148,4
61aa1e9737a24bc4e304bc27,2014-01-11,13,4,0.0,7,9,7,37,100,98,26.1,1008,13,8,180,18
61aa1e9737a24bc4e304bc28,2014-01-12,6,2,0.0,0,4,0,32,13,81,1.7,1009,6,10,282,20
61aa1e9737a24bc4e304bc29,2014-01-13,9,2,0.0,1,5,1,25,13,83,0.0,1018,9,10,205,15
61aa1e9737a24bc4e304bc2a,2014-01-14,8,5,0.0,4,7,4,23,78,93,16.4,1009,8,8,238,13
61aa1e9737a24bc4e304bc2b,2014-01-15,9,4,0.0,4,6,4,10,20,86,0.1,1014,9,10,213,7
61aa1e9737a24bc4e304bc2c,2014-01-16,5,1,0.0,0,3,0,12,73,84,0.4,1013,5,9,322,8
61aa1e9737a24bc4e304bc2d,2014-01-17,6,0,0.0,0,3,0,11,19,72,0.0,1014,6,10,209,8
61aa1e9737a24bc4e304bc2e,2014-01-18,4,-4,1.4,-3,1,-3,25,55,79,4.9,1009,4,9,219,17
61aa1e9737a24bc4e304bc2f,2014-01-19,1,-5,0.0,-8,-2,-8,30,23,67,0.0,1008,1,10,252,21
61aa1e9737a24bc4e304bc30,2014-01-20,7,-1,0.0,-2,3,-2,34,28,77,0.0,1006,7,10,263,21
61aa1e9737a24bc4e304bc31,2014-01-21,-4,-10,0.2,-13,-6,-13,29,77,79,5.2,1014,-4,7,107,22
61aa1e9737a24bc4e304bc32,2014-01-22,-9,-14,0.0,-21,-12,-21,32,39,74,2.6,1011,-9,8,287,24
61aa1e9737a24bc4e304bc33,2014-01-23,-7,-14,0.0,-18,-11,-18,24,45,76,0.2,1021,-7,10,291,17
61aa1e9737a24bc4e304bc34,2014-01-24,-8,-13,0.0,-19,-11,-19,28,33,78,0.0,1026,-8,10,274,19
61aa1e9737a24bc4e304bc35,2014-01-25,-3,-8,2.0,-12,-5,-12,33,62,78,4.0,1006,-3,8,218,23
61aa1e9737a24bc4e304bc36,2014-01-26,-6,-9,0.0,-13,-6,-13,28,43,74,0.0,1009,-6,10,250,19
61aa1e9737a24bc4e304bc37,2014-01-27,4,-7,0.0,-6,-1,-6,30,71,76,1.8,1010,4,10,264,20
61aa1e9737a24bc4e304bc38,2014-01-28,-8,-11,0.0,-15,-9,-15,18,55,63,0.0,1026,-8,10,308,14
61aa1e9737a24bc4e304bc39,2014-01-29,-7,-10,1.6,-16,-9,-16,23,22,72,1.8,1023,-7,9,288,17
61aa1e9737a24bc4e304bc3a,2014-01-30,-2,-11,0.0,-10,-6,-10,13,5,76,0.0,1028,-2,10,236,9
61aa1e9737a24bc4e304bc3b,2014-01-31,3,-5,0.0,-6,-1,-6,19,37,78,0.0,1021,3,10,264,12
61aa1e9737a24bc4e304bc3c,2014-02-01,5,-1,0.0,-1,2,-1,15,26,79,0.1,1024,5,10,177,9
61aa1e9737a24bc4e304bc3d,2014-02-02,8,1,0.0,1,4,1,17,39,90,0.0,1016,8,10,280,9
61aa1e9737a24bc4e304bc3e,2014-02-03,0,-2,16.7,-5,0,-5,24,94,92,26.6,1021,0,5,102,16
61aa1e9737a24bc4e304bc3f,2014-02-04,1,-4,0.0,-4,-2,-4,11,32,82,0.0,1029,1,10,193,7
61aa1e9737a24bc4e304bc40,2014-02-05,1,-1,15.8,-5,0,-5,23,88,95,44.3,1012,1,5,185,16
61aa1e9737a24bc4e304bc41,2014-02-06,-1,-7,0.2,-9,-4,-9,20,11,80,0.2,1023,-1,10,310,13
61aa1e9737a24bc4e304bc42,2014-02-07,-1,-6,0.0,-9,-3,-9,23,15,76,0.0,1026,-1,10,274,15
61aa1e9737a24bc4e304bc43,2014-02-08,-2,-8,0.0,-10,-5,-10,16,50,71,0.0,1025,-2,10,286,11
61aa1e9737a24bc4e304bc44,2014-02-09,-2,-7,0.9,-9,-4,-9,14,46,75,1.1,1020,-2,9,275,9
61aa1e9737a24bc4e304bc45,2014-02-10,-3,-9,0.0,-12,-6,-12,26,17,77,0.0,1021,-3,10,304,18
61aa1e9737a24bc4e304bc46,2014-02-11,-5,-10,0.0,-14,-7,-14,21,5,74,0.0,1028,-5,10,316,15
61aa1e9737a24bc4e304bc47,2014-02-12,-5,-10,0.0,-13,-7,-13,14,21,74,0.0,1032,-5,10,50,11
61aa1e9737a24bc4e304bc48,2014-02-13,1,-3,2.6,-7,0,-7,45,99,95,38.4,1005,1,6,35,29
61aa1e9737a24bc4e304bc49,2014-02-14,3,-3,2.6,-6,0,-6,40,31,85,5.2,997,3,8,274,27
61aa1e9737a24bc4e304bc4a,2014-02-15,1,-3,0.0,-6,-1,-6,29,69,86,12.6,1005,1,7,196,19
61aa1e9737a24bc4e304bc4b,2014-02-16,-2,-9,0.0,-12,-5,-12,31,36,76,0.0,1014,-2,10,294,22
61aa1e9737a24bc4e304bc4c,2014-02-17,1,-10,0.0,-10,-5,-10,20,12,67,0.0,1026,1,10,281,13
61aa1e9737a24bc4e304bc4d,2014-02-18,3,-3,0.3,-5,0,-5,22,51,83,0.9,1020,3,7,201,14
61aa1e9737a24bc4e304bc4e,2014-02-19,4,-3,0.0,-2,1,-2,20,53,92,8.2,1013,4,9,200,11
61aa1e9737a24bc4e304bc4f,2014-02-20,7,0,0.0,0,3,0,18,35,84,0.2,1021,7,9,221,10
61aa1e9737a24bc4e304bc50,2014-02-21,10,1,0.0,2,5,2,27,75,95,10.8,1012,10,6,153,14
61aa1e9737a24bc4e304bc51,2014-02-22,9,0,0.0,1,4,1,29,7,77,0.0,1017,9,10,236,16
61aa1e9737a24bc4e304bc52,2014-02-23,10,2,0.0,3,5,3,16,53,88,0.4,1014,10,10,238,9
61aa1e9737a24bc4e304bc53,2014-02-24,1,-5,0.9,-6,-1,-6,32,37,77,3.1,1014,1,7,297,21
61aa1e9737a24bc4e304bc54,2014-02-25,-1,-6,0.3,-9,-4,-9,23,48,71,0.7,1017,-1,8,289,16
61aa1e9737a24bc4e304bc55,2014-02-26,-2,-7,0.9,-10,-5,-10,19,44,74,1.6,1013,-2,8,293,14
61aa1e9737a24bc4e304bc56,2014-02-27,-1,-12,0.1,-12,-6,-12,26,25,71,0.1,1009,-1,9,217,19
61aa1e9737a24bc4e304bc57,2014-02-28,-6,-16,0.0,-16,-10,-16,16,6,75,0.0,1028,-6,10,288,12
61aa1e9737a24bc4e304bc58,2014-03-01,2,-9,0.0,-6,-4,-6,11,24,69,0.0,1027,2,10,197,7
61aa1e9737a24bc4e304bc59,2014-03-02,3,-3,0.1,-4,0,-4,15,66,87,1.1,1019,3,7,295,9
61aa1e9737a24bc4e304bc5a,2014-03-03,-6,-8,2.3,-13,-6,-13,24,75,77,3.8,1022,-6,6,344,18
61aa1e9737a24bc4e304bc5b,2014-03-04,-3,-11,0.0,-10,-6,-10,11,48,69,0.0,1028,-3,10,247,8
61aa1e9737a24bc4e304bc5c,2014-03-05,1,-8,0.1,-7,-3,-7,14,29,78,0.1,1025,1,10,74,9
61aa1e9737a24bc4e304bc5d,2014-03-06,-3,-12,0.0,-14,-7,-14,24,14,74,0.0,1034,-3,10,57,15
61aa1e9737a24bc4e304bc5e,2014-03-07,1,-5,0.1,-7,-2,-7,22,59,87,0.1,1023,1,10,45,14
61aa1e9737a24bc4e304bc5f,2014-03-08,7,-2,0.0,-1,2,-1,23,34,91,0.0,1011,7,9,308,13
61aa1e9737a24bc4e304bc60,2014-03-09,3,-3,0.0,-5,0,-5,26,33,82,0.1,1015,3,10,311,16
61aa1e9737a24bc4e304bc61,2014-03-10,8,0,0.0,0,3,0,21,69,86,0.3,1009,8,9,228,12
